split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,gom_142_xl_0408,gom,1,64,7,True,-114.59724714101633,0.8765927417312657
id,test_id,gom_142_xl_0408,gom,1,65,7,True,-99.29245339732404,0.7595212461751313
id,test_id,gom_142_xl_0408,gom,1,66,7,True,-114.06126407507719,0.8724928276668819
id,test_id,gom_142_xl_0408,gom,1,67,7,True,-106.29585640017267,0.8130926223894449
id,test_id,gom_142_xl_0408,gom,1,68,7,True,-115.76016966973194,0.8854883258164004
id,test_id,gom_142_xl_0408,gom,1,69,7,True,-65.97570274413064,0.5046702569125221
id,test_id,gom_142_xl_0408,gom,1,70,7,True,-60.04029554468243,0.45926833845410214
id,test_id,gom_142_xl_0408,gom,1,71,7,True,-114.86322466844115,0.878627292960209
id,test_id,gom_142_xl_0408,gom,1,72,7,True,-113.15332107104427,0.8655476674025907
id,test_id,gom_142_xl_0408,gom,1,73,7,True,-116.0657658885437,0.8878259336908833
id,test_id,gom_142_xl_0408,gom,1,74,7,True,-89.50250462062174,0.6846346476426386
id,test_id,gom_142_xl_0408,gom,1,75,7,True,-85.21858179137571,0.6518654864983665
id,test_id,gom_142_xl_0408,gom,1,76,7,True,-46.47614223849479,0.3555115848446298
id,test_id,gom_142_xl_0408,gom,1,77,7,True,-50.03405107959961,0.38272722172651874
id,test_id,gom_142_xl_0408,gom,1,78,7,True,-48.469985139361356,0.37076315727464915
id,test_id,gom_142_xl_0408,gom,1,79,7,True,-84.34399033462992,0.6451754433944502
id,test_id,gom_142_xl_0408,gom,1,80,7,True,-54.251233204892344,0.41498586086329875
id,test_id,gom_142_xl_0408,gom,1,81,7,True,-115.88848018990217,0.8864698159784685
id,test_id,gom_142_xl_0408,gom,1,82,7,True,-83.22975291615782,0.6366522680305945
id,test_id,gom_142_xl_0408,gom,1,83,7,True,-61.40731484859694,0.46972512715988496
id,test_id,gom_142_xl_0408,gom,1,84,7,True,-99.62550401519165,0.7620688619471977
id,test_id,gom_142_xl_0408,gom,1,85,7,True,-120.7368703322069,0.923556776737621
id,test_id,gom_142_xl_0408,gom,1,86,7,True,-63.56319086697347,0.48621614519852835
id,test_id,gom_142_xl_0408,gom,1,87,7,True,-106.35197187296292,0.8135218684435512
id,test_id,gom_142_xl_0408,gom,1,88,7,True,-79.57624496170209,0.6087053614980805
id,test_id,gom_142_xl_0408,gom,1,89,7,True,-114.11503502411645,0.8729041396732324
id,test_id,gom_142_xl_0408,gom,1,90,7,True,-64.02501605342297,0.48974880079445327
id,test_id,gom_142_xl_0408,gom,1,91,7,True,-55.20190822998411,0.4222578926749806
id,test_id,gom_142_xl_0408,gom,1,92,7,True,-110.64608820560261,0.846369003110841
id,test_id,gom_142_xl_0408,gom,1,93,7,True,-109.92248223257597,0.8408338985629278
id,test_id,gom_142_xl_0408,gom,1,94,7,True,-86.54096726158448,0.6619808560545783
id,test_id,gom_142_xl_0408,gom,1,95,7,True,-71.74154478075751,0.548775114623952
id,test_id,gom_142_xl_0408,gom,1,96,7,True,-66.07437825902582,0.5054250589893751
id,test_id,gom_142_xl_0408,gom,1,97,7,True,-69.76330025455405,0.5336428593883124
id,test_id,gom_142_xl_0408,gom,1,98,7,True,-117.22092752447713,0.8966621521066679
id,test_id,gom_142_xl_0408,gom,1,99,7,True,-55.91856974972101,0.42773987677278696
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,0,15,True,-39.83112356250817,0.9113829100759369
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,1,15,True,-39.04756337098465,0.8934541321832
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,2,15,True,-39.55042488870151,0.9049601945884639
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,3,15,True,-39.595535529618815,0.9059923790592358
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,4,15,True,-39.097449570841086,0.8945955870539485
