case_id,label,frequency_hz,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,primal_residual_norm,tangent_residual_norm,receiver_resolvent_norm,directional_tangent_resolvent_norm,directional_error_bound
8,s43_f4,4.0,-0.013890293481395992,-0.456266426401723,0.442376132920327,621.0627370778362,3828.592331949903,0.0217138945226375,3.291895585072315e-05,1354.7054334061995
9,s36_f3,3.0,0.05713386464116965,0.012347496355599234,0.04478636828557042,470.05352537940007,2661.9448134167283,0.03078569919996286,5.1530973364893904e-05,1334.9557211349688
9,s36_f4,4.0,0.08572215166372536,-0.35232144060984316,0.43804359227356854,710.077692568008,4342.2833315064645,0.03252595182135781,0.00012430843949062987,4650.090841568344
9,s43_f3,3.0,0.03453851276401665,-0.14281438792401915,0.1773529006880358,380.7970080047154,3282.942415555589,0.03078569919996286,5.1530973364893904e-05,1299.0322267089548
9,s43_f4,4.0,0.04579244296860492,-0.45580688953492055,0.5015993325035255,736.8004188826675,5271.544272092461,0.03252595182135781,0.00012430843949062987,5611.489763731285
10,s36_f3,3.0,-0.008925033422881045,0.0643097989741022,0.07323483239698325,473.7941870627051,1853.4758951005742,0.025831805190475576,6.939816639074805e-05,749.4305406629481
10,s36_f4,4.0,-0.41081102919539625,-0.6059002052204574,0.19508917602506115,582.4393493670725,3165.8674148284813,0.024548987673920553,9.949776790200284e-05,1707.2837682391075
10,s43_f3,3.0,-0.012999780073352797,-0.21826187297887464,0.20526209290552186,338.0109927307631,2089.0993215319195,0.025831805190475576,6.939816639074805e-05,570.4625418275012
10,s43_f4,4.0,-0.2916382061250749,-0.9199074972342283,0.6282692911091534,581.511481502492,3411.9857692432843,0.024548987673920553,9.949776790200284e-05,1807.4098174929331
11,s36_f3,3.0,0.00622896360958403,-0.02544913454333554,0.03167809815291957,475.0886248791107,2181.481142562833,0.025060184449218297,6.650483719371646e-05,803.9417017570981
11,s36_f4,4.0,-0.09392689039121754,-0.37125928261782276,0.2773323922266052,614.5901562123908,4144.137571802525,0.025391553384670338,8.089985424614485e-05,2203.3157561066814
11,s43_f3,3.0,-0.015459425554882543,-0.18356318982929243,0.16810376427440987,392.5990501540938,2233.297959991867,0.025060184449218297,6.650483719371646e-05,667.1931087214099
11,s43_f4,4.0,-0.1669309117187856,-0.42889204440542483,0.26196113268663923,599.4340867250365,4121.971253538597,0.025391553384670338,8.089985424614485e-05,2135.031671673557
12,s36_f3,3.0,-0.08228353619995885,-0.15320812247184606,0.07092458627188722,465.00675918394,2345.5450352391636,0.0252145320255963,0.00010985653679134344,936.9988252254999
12,s36_f4,4.0,-0.20615015944191364,-0.4802314172840795,0.27408125784216586,617.1109526931862,3423.5288785505945,0.026811808246129474,0.00013417533941427554,2467.325414067349
12,s43_f3,3.0,-0.03552515901835895,-0.2658454938426928,0.23032033482433384,367.75001633810126,2052.378578456073,0.0252145320255963,0.00010985653679134344,646.3893802677634
12,s43_f4,4.0,-0.1420691106674932,-0.7740324059118456,0.6319632952443525,633.3914751572972,3594.1838865254704,0.026811808246129474,0.00013417533941427554,2651.0168229576025
13,s36_f3,3.0,0.000977614390649079,-0.03835909932293708,0.03933671371358616,463.39651299597784,2800.861771370228,0.027589441752045717,3.206275898492101e-05,1075.7550253721581
